model,dataset,question_id,question,sql_time_s,nlp_time_s,total_time_s,gpu_energy_j,total_energy_j,avg_power_w,carbon_gco2eq,generated_at
cogito:3b,country_income,question_1,What is the gini recalculated of Vietnam in 2015?,0.0522,23.6682,23.7204,0.0,473.5612,19.96,52.6179,2025-11-26 12:15:10
cogito:3b,country_income,question_10,What is the net income of each category of Vietnam in 2015?,0.1403,17.3028,17.4431,0.0,311.4171,17.85,34.6019,2025-11-26 12:15:28
cogito:3b,country_income,question_11,What is the average of gini recalcuated score of Vietnam by year?,0.0844,23.575,23.6594,0.0,391.9823,16.57,43.5535,2025-11-26 12:15:52
cogito:3b,country_income,question_12,Top 5 country that have highest gini recalulated in 2015,0.0997,17.6428,17.7425,0.0,279.1435,15.73,31.0159,2025-11-26 12:16:10
cogito:3b,country_income,question_13,Top 5 country of which d1 category has highest net income in 2015,0.0965,11.9998,12.0963,0.0,182.1015,15.05,20.2335,2025-11-26 12:16:22
cogito:3b,country_income,question_14,How many countries have gini recalculated lower than the world average in 2015?,0.0867,6.7825,6.8692,0.0,101.2666,14.74,11.2518,2025-11-26 12:16:29
cogito:3b,country_income,question_15,What is the average of d10 net income of Vietnam over years?,0.0555,32.313,32.3685,0.0,570.9268,17.64,63.4363,2025-11-26 12:17:02
cogito:3b,country_income,question_16,What is the total net income of d5 to d9 groups of Vietnam in 2015?,0.129,10.8894,11.0184,0.0,222.7181,20.21,24.7464,2025-11-26 12:17:13
cogito:3b,country_income,question_17,What is the average gini recalculated score of top 5 countries having highest population in 2015?,0.0737,12.7436,12.8173,0.0,221.5472,17.29,24.6164,2025-11-26 12:17:26
cogito:3b,country_income,question_18,Calculate the average gini of countries by region ID in 2015,0.0656,14.008,14.0736,0.0,240.4215,17.08,26.7135,2025-11-26 12:17:40
cogito:3b,country_income,question_19,What is the growth rate of gini recalculated of Vietnam for each year?,0.0638,11.2262,11.29,0.0,179.9221,15.94,19.9913,2025-11-26 12:17:52
cogito:3b,country_income,question_2,What is the net income of d10 category of US in 2015?,0.0584,15.6181,15.6765,0.0,254.5436,16.24,28.2826,2025-11-26 12:18:08
cogito:3b,country_income,question_20,The average gini recalculated of the world in 2015,0.0998,19.2292,19.329,0.0,307.0398,15.88,34.1155,2025-11-26 12:18:27
cogito:3b,country_income,question_21,What is the ratio of net income of d10 to d1 group of Singapore in 2015?,0.0753,23.3143,23.3896,0.0,375.3823,16.05,41.7092,2025-11-26 12:18:51
cogito:3b,country_income,question_22,Vietnam released economic reformation policy named 'Doi Moi' from 1986 to 2000. Evaluate the effectiveness of the policy based on the gini score trend of the country in 2 phases: Before 1986 and after 1986,0.0954,36.972,37.0674,0.0,591.6911,15.96,65.7434,2025-11-26 12:19:28
cogito:3b,country_income,question_23,Analyze the trend of world's income inequality across region from 1967 to 2015.,0.118,71.8138,71.9318,0.0,806.3821,11.21,89.5981,2025-11-26 12:20:40
cogito:3b,country_income,question_24,Does higher gdp per capita posiviely correlated with high income inequality? Explain possible reasons,0.0482,76.2101,76.2583,0.0,735.143,9.64,81.6826,2025-11-26 12:21:57
cogito:3b,country_income,question_25,The financial crisis happened in 2008. Evaluate the income inequality before and after the event in US.,0.0392,24.028,24.0672,0.0,240.7654,10.0,26.7517,2025-11-26 12:22:21
cogito:3b,country_income,question_26,Analyze the trend of income inequality and gdp per capita of Singapore from 1970 onward.,0.0649,12.9768,13.0417,0.0,128.9769,9.89,14.3307,2025-11-26 12:22:34
cogito:3b,country_income,question_27,Does population affect income inequality? Analyze gini index of China through years to explain,0.0614,51.0665,51.1279,0.0,492.9587,9.64,54.7732,2025-11-26 12:23:26
cogito:3b,country_income,question_28,Comparing the gini index of China and US over years to evaluate which country has higher income inequality,0.0467,31.934,31.9807,0.0,304.5586,9.52,33.8399,2025-11-26 12:23:58
cogito:3b,country_income,question_29,Which region ID has high income inequality? Explain reasons behind it,0.0657,23.5453,23.611,0.0,222.1485,9.41,24.6832,2025-11-26 12:24:22
cogito:3b,country_income,question_3,What is the net income of d1 category of Thailand in 2009?,0.0507,14.2892,14.3399,0.0,142.8028,9.96,15.867,2025-11-26 12:24:36
cogito:3b,country_income,question_30,"What are the common patterns can be observed from countries with high income inequality in 2015, knowing gini greater than 0.4 is considered as high inequality",0.0355,32.2597,32.2952,0.0,307.4117,9.52,34.1569,2025-11-26 12:25:09
cogito:3b,country_income,question_31,"Evaluate the net income gap between low income group d1 to d4, middle income group d5 to d9 and high income group d10 in Vietnam and propose improvement plan",0.0447,41.0373,41.082,0.0,399.4001,9.72,44.3778,2025-11-26 12:25:50
cogito:3b,country_income,question_4,What is the net income of d10 group of Singapore in 1970?,0.0511,19.1023,19.1534,0.0,175.6207,9.17,19.5134,2025-11-26 12:26:09
cogito:3b,country_income,question_5,What is the population of China in 2000?,0.0622,6.5442,6.6064,0.0,67.6197,10.24,7.5133,2025-11-26 12:26:16
cogito:3b,country_income,question_6,What is the gdp per capita of Sweden in 2015?,0.0342,12.3532,12.3874,0.0,122.3302,9.88,13.5922,2025-11-26 12:26:29
cogito:3b,country_income,question_7,Distinct list of region ID,0.0544,17.4094,17.4638,0.0,165.506,9.48,18.3896,2025-11-26 12:26:47
cogito:3b,country_income,question_8,All the countries have gini recalculated greater than 0.4 in 2015,0.0542,23.4663,23.5205,0.0,219.3042,9.32,24.3671,2025-11-26 12:27:10
cogito:3b,country_income,question_9,"What is the gpd per capita, population and gini coefficient of Vietnam in 2010?",0.0639,14.4776,14.5415,0.0,145.5532,10.01,16.1726,2025-11-26 12:27:25
cogito:3b,finance_economics,question_1,"The inflation rate of November 28, 2008",0.0318,19.9929,20.0247,0.0,182.6327,9.12,20.2926,2025-11-26 12:27:45
cogito:3b,finance_economics,question_10,"The unemployment rate, interest rate, inflation rate, the date where Dow Jones has top trading volume",0.0527,16.6279,16.6806,0.0,165.5564,9.93,18.3951,2025-11-26 12:28:02
cogito:3b,finance_economics,question_11,"Number of days which the closing price is higher than the open price of Dow Jones, S&P 500, NASDAQ",0.0395,31.7501,31.7896,0.0,329.5401,10.37,36.6156,2025-11-26 12:28:34
cogito:3b,finance_economics,question_12,The annual consumer spending from 2000 to 2008,0.0437,30.6946,30.7383,0.0,285.4276,9.29,31.7142,2025-11-26 12:29:05
cogito:3b,finance_economics,question_13,The annual growth rate of consumer confidence index from 2000 to 2008,0.0507,48.3227,48.3734,0.0,456.7628,9.44,50.7514,2025-11-26 12:29:54
cogito:3b,finance_economics,question_14,Ratio of days having negative gdp growth to total days,0.0528,8.7723,8.8251,0.0,93.8119,10.63,10.4235,2025-11-26 12:30:03
cogito:3b,finance_economics,question_15,The average bankruptcy rate and M&A deals by year,0.0345,23.1128,23.1473,0.0,227.7382,9.84,25.3042,2025-11-26 12:30:26
cogito:3b,finance_economics,question_16,Number of days where the gdp growth is negative,0.0468,17.6658,17.7126,0.0,165.8443,9.36,18.4272,2025-11-26 12:30:44
cogito:3b,finance_economics,question_17,"Average monthly trading volume of NASDAQ, S&P 500, Dow Jones",0.0475,9.5532,9.6007,0.0,99.1911,10.33,11.0212,2025-11-26 12:30:54
cogito:3b,finance_economics,question_18,Which year has the highest average consumer confidence index?,0.0374,22.4565,22.4939,0.0,223.1168,9.92,24.7908,2025-11-26 12:31:17
cogito:3b,finance_economics,question_19,The annual average venture capital funding by year,0.0572,7.5682,7.6254,0.0,69.7568,9.15,7.7507,2025-11-26 12:31:24
cogito:3b,finance_economics,question_2,"The open price, close price, trading volume of Feb 20, 2000",0.0351,8.7849,8.82,0.0,85.6889,9.72,9.521,2025-11-26 12:31:33
cogito:3b,finance_economics,question_20,The ratio of government debt to consumer spending by year,0.037,36.0523,36.0893,0.0,347.8947,9.64,38.655,2025-11-26 12:32:10
cogito:3b,finance_economics,question_21,Average gold price by year,0.0486,19.4733,19.5219,0.0,191.3201,9.8,21.2578,2025-11-26 12:32:29
cogito:3b,finance_economics,question_22,"2008 was the year of global financial crisis. Evaluate some indicators that signaled this recession, and propose a risk mitigation strategy for stock investing",0.0505,29.0921,29.1426,0.0,290.3154,9.96,32.2573,2025-11-26 12:32:59
cogito:3b,finance_economics,question_23,Does government debt effect GDP growth? Analyze the given data and recommend policymakers on how to create positive gdp growth,0.0472,78.9422,78.9894,0.0,764.6509,9.68,84.9612,2025-11-26 12:34:18
cogito:3b,finance_economics,question_24,Low interest rate leads to risky money flow into stock and consumer spending. Evaluate the data to verify the accuracy of this statement. ,0.05,66.8935,66.9435,0.0,664.0796,9.92,73.7867,2025-11-26 12:35:25
cogito:3b,finance_economics,question_25,"Analyze the past performance of all the asset types, stock, commodity, real estate, forex and propose which type of asset is worth to invest in based on investors' risk apetite",0.0499,22.323,22.3729,0.0,223.9165,10.01,24.8796,2025-11-26 12:35:48
cogito:3b,finance_economics,question_26,Evaluate the relationship between inflation rate and consumer spending,0.0508,14.537,14.5878,0.0,153.5541,10.53,17.0616,2025-11-26 12:36:03
cogito:3b,finance_economics,question_27,"Which stock indexes should investors invest in? Analyze NASDAQ, S&P 500, Dow Jones performances",0.0318,35.7214,35.7532,0.0,367.7165,10.28,40.8574,2025-11-26 12:36:39
cogito:3b,finance_economics,question_28,"What is the relationship between interest rate, unemployment rate and corporate profits? Propose strategy for policymakers to promote corporate activities",0.0499,99.3595,99.4094,0.0,962.476,9.68,106.9417,2025-11-26 12:38:18
cogito:3b,finance_economics,question_29,"venture capital funding is private fundraising, wheras stock index activities is public fundraising. Which fundraising channel is more active in US, explain the reasons",0.0487,17.09,17.1387,0.0,166.6215,9.72,18.5135,2025-11-26 12:38:35
cogito:3b,finance_economics,question_3,"The gold price, crude oil price, real estate index of Jan 1, 2008",0.0519,25.8572,25.9091,0.0,255.0832,9.85,28.3426,2025-11-26 12:39:02
cogito:3b,finance_economics,question_30,"Recommend asset classes to invest when the USD currency is appreciated, and when it is depreciated",0.0585,56.3668,56.4253,0.0,539.6715,9.56,59.9635,2025-11-26 12:39:58
cogito:3b,finance_economics,question_31,"When it is best to invest in real estate in terms of interest rate environment, stock performance and unemployment context?",0.0459,54.0272,54.0731,0.0,575.3236,10.64,63.9248,2025-11-26 12:40:53
cogito:3b,finance_economics,question_4,"The consumer confidence index of 24 December, 2007",0.0653,19.7911,19.8564,0.0,237.1265,11.94,26.3474,2025-11-26 12:41:13
cogito:3b,finance_economics,question_5,"The date, stock index on which stock index reached the highest Daily High",0.0476,11.8183,11.8659,0.0,122.9334,10.36,13.6592,2025-11-26 12:41:25
cogito:3b,finance_economics,question_6,"The date, gold price, crude oil price and gdp growth where unemployment rate reached the highest",0.0341,12.8264,12.8605,0.0,119.8309,9.32,13.3145,2025-11-26 12:41:38
cogito:3b,finance_economics,question_7,"The date, forex US/EUR, US/JPY where gdp growth is negative",0.0358,80.3606,80.3964,0.0,787.9529,9.8,87.5503,2025-11-26 12:42:58
cogito:3b,finance_economics,question_8,The date where trading volumne is the largest,0.0456,11.4031,11.4487,0.0,112.0516,9.79,12.4502,2025-11-26 12:43:10
cogito:3b,finance_economics,question_9,"The date, consumer confidence index, consumer spending where the bankruptcy rate is highest",0.0346,19.5121,19.5467,0.0,190.7451,9.76,21.1939,2025-11-26 12:43:30
cogito:3b,global_development,question_1,What is the digital readiness score of South Asia in 2020?,0.0567,13.549,13.6057,0.0,131.8641,9.69,14.6516,2025-11-26 12:43:44
cogito:3b,global_development,question_10,What is the unemployment rate of US in 2020?,0.0382,10.7592,10.7974,0.0,108.7607,10.07,12.0846,2025-11-26 12:43:55
cogito:3b,global_development,question_11,To what extent has the world's GDP per capita grown between 2000 and 2020?,0.0408,14.6757,14.7165,0.0,145.3502,9.88,16.15,2025-11-26 12:44:10
cogito:3b,global_development,question_12,What is the average economic opportunity index of low and indebt countries?,0.0381,15.485,15.5231,0.0,155.2816,10.0,17.2535,2025-11-26 12:44:25
cogito:3b,global_development,question_13,How many countries has the gdp per capita lower than the world in 2019?,0.0541,8.8302,8.8843,0.0,85.7225,9.65,9.5247,2025-11-26 12:44:34
cogito:3b,global_development,question_14,Which country has the highest health expenditure per capita in 2020?,0.0317,9.9644,9.9961,0.0,97.7186,9.78,10.8576,2025-11-26 12:44:45
cogito:3b,global_development,question_15,How many countries are in lower middle income group as in 2020?,0.0381,7.0859,7.124,0.0,74.0683,10.4,8.2298,2025-11-26 12:44:52
cogito:3b,global_development,question_16,What is the average digital readiness score of high income countries in 2019?,0.0346,20.7988,20.8334,0.0,204.9767,9.84,22.7752,2025-11-26 12:45:13
cogito:3b,global_development,question_17,Which country has the lowest global resilience score?,0.0458,59.7715,59.8173,0.0,576.6664,9.64,64.074,2025-11-26 12:46:13
